property_location,age_sq,stories,garage
290 S 1ST ST,1024,2,0
258 N 17TH ST,1600,1.5,0
233 N 1ST ST,441,2,1
227 N 16TH ST,0,2,0
383 N 2ND ST,1764,1.5,1
408 N 4TH ST,256,2,1
286 N 16TH ST,169,2,1
281 N 16TH ST,1600,2,1
228 N 19TH ST,49,2,0
23 N 6TH ST,64,2,1
223 N 5TH ST,0,2,0
287 N 16TH ST,4624,2,1
282 N 9TH ST,16,2,0
358 N 2ND ST,1089,2,1
229 N 11TH ST,0,2,0
358 N 4TH ST,1521,1.5,0
218 N 16TH ST,0,1,1
111 N 10TH ST,0,2,0
1707 N CENTRAL AVE,3969,2,1
26 N 6TH ST,1225,1,1
276 N 16TH ST,2500,1,1
207 N 2ND ST,81,2,0
32 N 9TH ST,196,2,1
252 N 8TH ST,400,1,0
217 N 14TH ST,5625,1.5,1
209 S BARNEGAT AVE,324,1,1
36 N 7TH ST,6400,1,0
32 N 12TH ST,3600,2,1
128 N 7TH ST,3481,1.5,0
32 N 19TH ST,576,2,0
261 N 17TH ST,1849,1,0
283 N 3RD ST,1764,1.5,1
127 N 17TH ST,4761,2,1
343 N 8TH ST,3136,1,1
1815 N OCEAN TER,729,2,1
111 N 19TH ST,2601,2,0
287 N 7TH ST,2116,1.5,0
272 N 16TH ST,2601,1,0
1914 SUNSET AVE,729,2,0
19 N 16TH ST,1,2,1
43 N 23RD ST,3249,2,1
322 N 3RD ST,0,1,1
47 N 23RD ST,121,2,1
113 N 6TH ST,3844,2,1
223 N 1ST ST,2500,2,0
312 N 7TH ST,3025,1,0
274 N 14TH ST,3844,1.5,0
2411 N OCEAN AVE,3844,2,1
31 N 14TH ST,25,2,1
1406 N BARNEGAT AVE,1024,1,0
283 N 6TH ST,169,1,0
294 N 6TH ST,961,2,1
311 N 11TH ST,196,1,1
236 N 5TH ST,4225,1,1
27 N 12TH ST,121,2,1
360 N 10TH ST,144,2,0
362 N 5TH ST,81,2,1
287 N 17TH ST,961,2,1
263 N 4TH ST,1600,2,0
113 S CENTRAL AVE,2209,2,1
271 N 15TH ST,0,2,0
276 DIVISION AVE,2601,1.5,1
411 N 3RD ST,196,2,1
344 N 13TH ST,1521,2,1
246 N 11TH ST,0,2,0
109 N 21ST ST,3844,1.5,1
1 DIVISION AVE,289,2,1
1205 N OCEAN AVE,49,2,1
13 N CENTRAL AVE,2304,1.5,0
211 N 18TH ST,729,1,0
46 N 25TH ST,729,1,0
254 N 15TH ST,2704,1.5,1
372 N 3RD ST,1764,1.5,0
216 S 1ST ST,2500,1,1
312 N 14TH ST,676,2,1
334 N 2ND ST,0,1,0
323 N 1ST ST,2116,1.5,0
212 N CENTRAL AVE,1296,1,0
229 N 11TH ST,0,2,0
250 N 9TH ST,144,1,0
32 N 13TH ST,9,2,0
2313 N OCEAN AVE,2601,2,0
612 N BARNEGAT AVE,4,1,1
111 N 10TH ST,0,2,0
30 S 1ST ST,3721,1,0
610 N CENTRAL AVE,3721,1.5,1
42 N 21ST ST,1,2,0
2414 BAY VISTA DR,841,2,1
342 N 5TH ST,2116,1.5,0
260 N 19TH ST,25,2,1
14 N 6TH ST,0,2,1
28 N 11TH ST,3844,1.5,0
7 N 23RD ST,2601,2,0
313 N 5TH ST,2500,1.5,1
282 N 13TH ST,1296,2,1
225 N 6TH ST,1296,1.5,1
387 N 2ND ST,2025,2,1
51 S 2ND ST,49,2,1
2300 N CENTRAL AVE,3721,2,1
352 N 3RD ST,1681,1.5,1
2105 SUNSET AVE,196,2,1
357 N 6TH ST,3249,2,1
245 N 16TH ST,6561,2,0
6 N 23RD ST,1,3,1
2306 N CENTRAL AVE,3844,1.5,1
242 DIVISION AVE,2916,2,1
245 N 17TH ST,3136,1.5,1
223 S 1ST ST,2916,1.5,1
26 S 1ST ST,3844,1,1
326 S 2ND ST,1936,2,1
282 N 2ND ST,2500,1.5,1
608 N BARNEGAT AVE,4,2,1
353 N 4TH ST,2916,1,1
372 N 2ND ST,3249,1,0
2201 N OCEAN AVE,361,2,1
242 N 5TH ST,4489,1,0
280 N 17TH ST,2500,1.5,0
312 N BARNEGAT AVE,1600,1.5,1
386 N 6TH ST,3364,2,1
236 N 14TH ST,3600,2,0
282 N 10TH ST,100,2,1
110 N 21ST ST,2916,1.5,0
294 DIVISION AVE,2809,2,1
304 N 8TH ST,2209,2,1
380 N 1ST ST,1849,2,0
323 N 7TH ST,2209,1.5,0
29 N 11TH ST,3844,2,0
232 N 23RD ST,2209,2,0
213 N 4TH ST,1600,1.5,1
313 N 12TH ST,3844,2,0
1714 OCEAN TERR,4,3,1
213 N CENTRAL AVE,2116,1,0
315 N 6TH ST,36,1,1
304 N 14TH ST,6084,1,1
273 N 13TH ST,2500,2,1
1911 SUNSET AVE,0,2,0
237 N 17TH ST,1600,1.5,0
226 N 4TH ST,729,1.5,1
363 N 3RD ST,1225,1.5,0
246 N 12TH ST,225,2,0
346 N 8TH ST,1369,1,0
212 N 17TH ST,1600,2,1
326 N 8TH ST,900,2,1
1808 SUNSET AVE,144,2,0
214 N 15TH ST,3136,2,0
257 S 1ST ST,1681,1,1
112 N 15TH ST,1681,1.5,0
125 N 11TH ST,3844,1.5,0
269 N 10TH ST,256,1,0
116 N 4TH ST,196,1,0
243 N 9TH ST,729,2,0
212 N 21ST ST,0,2,1
338 N 8TH ST,1296,1.5,0
2300 N CENTRAL AVE,2601,2,1
209 S BARNEGAT AVE,81,1,1
300 N 13TH ST,1681,2,1
294 N 2ND ST,1296,1.5,1
112 N 16TH ST,4761,2,1
253 S 1ST ST,1681,1.5,0
328 N 10TH ST,324,1,1
310 S 1ST ST,400,1,1
282 N 7TH ST,2401,1,1
108 N 3RD ST,3721,1,1
2106 N CENTRAL AVE,400,1,0
253 N 9TH ST,49,1,0
201 N 2ND ST,0,2,0
111 N 3RD ST,5929,1.5,0
1112 N CENTRAL AVE,3136,1.5,0
254 N 15TH ST,1764,1.5,1
10 N 6TH ST,5184,2,0
270 N 6TH ST,4,1,0
213 N 15TH ST,2809,2,1
243 N 22ND ST,0,2,1
235 N 19TH ST,2601,1,0
252 S 1ST ST,1764,1.5,0
32 N 24TH ST,1849,2.5,0
244 N 7TH ST,2500,2,1
295 N 10TH ST,1681,1,1
610 BAY FRONT,196,2,0
256 N 9TH ST,2304,1.5,0
100 S BARNEGAT AVE,0,1,0
362 N 2ND ST,0,2,0
1618 SUNSET AVE,2116,1.5,0
1506 N BARNEGAT AVE,961,2,0
115 N 10TH ST,225,1,0
316 N 13TH ST,2601,2.5,1
246 N 1ST ST,1296,1.5,0
292 N 14TH ST,144,2,0
231 N 17TH ST,1681,2,0
327 N 10TH ST,1156,1.5,0
1716 SUNSET AVE,144,2,0
237 N 1ST ST,1444,1.5,1
1616 N BARNEGAT AVE,2500,2,0
205 N 11TH ST,5041,2,1
216 DIVISION AVE,1296,2,0
31 N 8TH ST,25,2,0
263 N 10TH ST,256,1,0
32 N 9TH ST,36,2,1
412 N 4TH ST,841,2,0
124 N 7TH ST,2704,2,0
36 N 19TH ST,225,1,0
1808 SUNSET AVE,196,2,0
316 N 7TH ST,2116,1,1
239 N 15TH ST,5184,1,0
266 N 6TH ST,1,1,1
323 N 12TH ST,1369,1,0
2307 N LONG BEACH BLVD,2916,1.5,0
247 N 6TH ST,1225,1.5,0
6 N CENTRAL AVE,289,1,0
