transaction_id,property_location,block,lot,land_price,improv_price,assesed_value,year_built,year_sold,month_sold,ln_price,sales_price,dune,OF,NOF,BF,dune_OF,dune_NOF,dune_BF,ProtectDQ,duneOF_ProtectDQ,duneNOF_ProtectDQ,duneBF_PROTECTDQ,Dist_Public Access,PA_sq,duneOF_PA,duneNOF_PA,duneBF_PA,bedrooms,bed_sq,bathrooms,bath_sq,sq_footage,sq_foot_sq,acres,acres_sq,lot_size_sqft,Lot_sq,age,age_sq,condo,stories,colonial,ranch,cape,bi_level,contemporary,cottage,other_ht,garage,num_structures,units,heat_gas,heat_oil,heat_elec,fixbath4,fixbath3,fixbath2,fixbath1,HotTub,fireplace,basmt_area,attic_area,ac_area,Dist_Ocean,Dist_Bay,Dist_dune,Dist_duneEdge,Dist_route72,Q1_2000,Q2_2000,Q3_2000,Q4_2000,Q1_2001,Q2_2001,Q3_2001,Q4_2001,Q1_2002,Q2_2002,Q3_2002,Q4_2002,Q1_2003,Q2_2003,Q3_2003,Q4_2003,Q1_2004,Q2_2004,Q3_2004,Q4_2004,Q1_2005,Q2_2005,Q3_2005,Q4_2005,Q1_2006,Q2_2006,Q3_2006,Q4_2006,Q1_2007,Q2_2007,Q3_2007,Q4_2007,Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Q1,Q2,Q3,Q4,Viewscape
SC100,290 S 1ST ST,61,36,350000,130500,480500,1968,2000,9,12.49500394000,267000,0,0,1,0,0,0,0,107.87,0.00,0.00,0.00,1671.01,2792264.15,0.00,0.00,0.00,4,16,2.00000000000,4.00000000000,1495,2235025,0.1100,0.0121,4791.6,22959430.6,32,1024,0,2.00000000000,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1495,2037.12176143000,470.80071747300,1825.88508003000,368.43103552600,1707.37638852000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SC1000,258 N 17TH ST,79,6,350000,161300,511300,1970,2010,7,13.23569206000,560000,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,1448.20,2097290.79,0.00,2097290.79,0.00,4,16,2.50000000000,6.30000000000,1480,2190400,0.1100,0.0121,4791.6,22959430.6,40,1600,0,1.50000000000,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,1480,1741.60921614000,263.00665182900,1569.81404170000,2133.68221219000,6526.87159120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
SC1001,233 N 1ST ST,64,13,350000,249500,599500,1989,2010,6,13.58294778000,792500,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,1155.94,1336193.28,0.00,1336193.28,0.00,4,16,3.00000000000,9.00000000000,2488,6190144,0.1100,0.0121,4791.6,22959430.6,21,441,0,2.00000000000,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1292,0,2488,1486.47148704000,1110.36088549000,1282.25672519000,1070.79864605000,2403.56497649000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
SC1002,227 N 16TH ST,82,13,350000,419200,769200,2010,2010,6,13.65299163000,850000,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,1071.72,1148578.69,0.00,1148578.69,0.00,4,16,3.00000000000,9.00000000000,1914,3663396,0.1100,0.0121,4791.6,22959430.6,0,0,0,2.00000000000,0,0,0,0,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0,1056,0,1914,1362.35366587000,627.92433822900,1181.50047050000,2233.01047232000,6425.81670558000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
SC1003,383 N 2ND ST,99,33,377000,144100,521100,1968,2010,7,13.33424374000,618000,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,2762.41,7630891.22,0.00,7630891.22,0.00,5,25,2.00000000000,4.00000000000,1466,2149156,0.1100,0.0121,4791.6,22959430.6,42,1764,0,1.50000000000,0,0,1,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,1466,3097.59598597000,294.43503143500,2885.04737072000,1317.14383007000,2678.61623118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SC1005,408 N 4TH ST,115,4,398300,494900,893200,1994,2010,7,13.51440547000,740000,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,3134.64,9825962.35,0.00,9825962.35,0.00,6,36,4.50000000000,20.30000000000,3432,11778624,0.1300,0.0169,5662.8,32067303.8,16,256,0,2.00000000000,0,0,0,0,1,0,0,1,1,1,1,0,0,0,4,0,1,1,1,0,0,3432,3444.50746847000,209.62883489300,3246.32671356000,1667.83637032000,3070.20906103000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SC1007,286 N 16TH ST,78,16,376500,349000,725500,1997,2010,8,13.61094339000,815000,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,1726.52,2980866.60,0.00,2980866.60,0.00,4,16,3.50000000000,12.30000000000,2797,7823209,0.1100,0.0121,4791.6,22959430.6,13,169,0,2.00000000000,0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,0,1,0,0,1556,0,2797,2018.01693377000,263.80884927500,1836.26502004000,2393.01712472000,6265.34314970000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
SC1008,281 N 16TH ST,79,13,377000,179600,556600,1970,2010,7,13.26212532000,575000,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,1653.12,2732796.60,0.00,2732796.60,0.00,6,36,2.50000000000,6.30000000000,2086,4351396,0.1100,0.0121,4791.6,22959430.6,40,1600,0,2.00000000000,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,2086,1945.92104388000,263.51644389300,1765.41674228000,2232.24985442000,6425.11301113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
SC1009,228 N 19TH ST,87,14,470500,316000,786500,2003,2010,8,13.51440547000,740000,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,1117.80,1249481.01,0.00,1249481.01,0.00,4,16,3.50000000000,12.30000000000,1752,3069504,0.0900,0.0081,3920.4,15369536.2,7,49,0,2.00000000000,0,0,0,0,1,0,0,0,1,1,1,0,0,0,3,0,1,0,1,1176,0,1752,1384.66586996000,405.47641412800,1197.27292017000,1576.55900792000,7086.32414802000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
SC1011,23 N 6TH ST,23,9,572400,361000,933400,2002,2010,8,13.81250605000,997000,1,0,1,0,0,1,0,540.00,0.00,540.00,0.00,143.64,20632.14,0.00,20632.14,0.00,4,16,3.50000000000,12.30000000000,2176,4734976,0.0900,0.0081,3920.4,15369536.2,8,64,0,2.00000000000,0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,0,1,0,0,1032,0,2176,417.08371203300,2432.12647490000,219.90551987100,2463.20794465000,3804.17974397000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
