BLOCK,LOT,CONDO,LOCATION,res,comm,exempt,ACREAGE,sq_footage,story_design,house_type,garage,SALES DATE,SALE PRICE,PRICE CD,land_price,improv_price,assesed_value,num_structures,year_built,units,roof_type,roof_material,foundation,heat_src,heat_sys,elec,ac_type,ac_area,4_fixbath,3_fixbath,2_fixbath,1_fixbath,HotTub,fireplace,bedrooms,bathrooms,basmt_area,finbasmt_area,firstfloor_area,upper_area,half_area,attic_area,interior_cond,ext_cond,overall_cond,view
2,5,0,117 S 2ND ST,0,0,0,0.09,0,,,0,00/00/0000,0,,315000,0,315000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
5,8,0,108 N 2ND ST,0,0,0,0.16,0,,,0,00/00/0000,0,,385000,0,385000,1,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
10,4,0,5 S OCEAN AVE,0,0,0,0.09,0,,,0,00/00/0000,0,,900000,0,900000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
10,17,0,33 S 1ST ST,0,0,0,0.06,0,1,80,0,3/27/2003,30000,Z,225600,0,225600,1,0,1,2,4,2,3,90,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
11,24,0,12 N LONG BEACH BLVD,0,0,0,0.13,0,,,0,00/00/0000,0,,414200,0,414200,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
12,23,0,49 N 1ST ST,0,0,0,0.13,0,,,0,00/00/0000,0,,399000,0,399000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
19,10.01,0,20 N 3RD ST,0,0,0,0.09,0,,,0,5/13/2005,824500,A,653400,0,653400,2,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
19,12,0,24 N 3RD ST,0,0,0,0.09,0,,,0,5/13/2005,824500,A,653400,0,653400,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
19,12.01,0,24 N 3RD ST,0,0,0,0.09,0,,,0,5/13/2005,824500,A,653400,0,653400,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
21,5,0,15 N 4TH ST,0,0,0,0.11,0,,,0,00/00/0000,0,,720000,0,720000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
22,5,0,15 N 5TH ST,0,0,0,0.11,0,,,0,3/10/2005,999000,A,720000,0,720000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
26,7,0,109 N 9TH ST,0,0,0,0.08,0,,,0,00/00/0000,0,,208300,0,208300,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
27,11.01,0,1011 N LONG BEACH BLVD,0,0,0,0,0,,,0,8/8/2001,0,Z,451800,0,451800,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
29,7,0,17 N 7TH ST,0,0,0,0.11,0,,,0,4/5/2005,990000,A,678000,0,678000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
42,5,0,15 N 15TH ST,0,0,0,0.09,0,,,0,9/17/2004,835000,A,675000,0,675000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
42,6,0,1515 N OCEAN TERR,0,0,0,0.09,0,,,0,1/8/2003,681500,A,675000,0,675000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
48,13,0,2113 N LONG BEACH BLVD,0,0,0,0.06,0,,,0,00/00/0000,0,,305400,0,305400,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
49,20,0,1708 N LONG BEACH BLVD,0,0,0,0.07,0,,,0,6/28/2001,1,Z,488600,0,488600,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
51,8,0,16 N 20TH ST,0,0,0,0.11,0,,,0,00/00/0000,0,,720000,0,720000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
58,13,0,39 N 23RD ST,0,0,0,0.11,0,,,0,00/00/0000,0,,552000,0,552000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
61,26,0,266 S 1ST ST,0,0,0,0.11,0,,,0,3/30/1992,150000,A,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
62,3,0,7 S CENTRAL AVE,0,0,0,0.11,0,,,0,8/26/2005,1,Z,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
62,4,0,1 S CENTRAL AVE,0,0,0,0.11,0,,,0,8/26/2005,1,Z,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
64,20.03,0,252 N 2ND STREET,0,0,0,0.11,0,,,0,4/1/2005,445000,A,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
64,29,0,273 N 1ST ST,0,0,0,0.11,0,,,0,00/00/0000,0,,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
64,36,0,286 N 2ND ST,0,0,0,0.11,0,,,0,11/2/2005,1,Z,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
69,32,0,272 N 7TH ST,0,0,0,0.09,0,,,0,6/17/2005,400000,A,315000,0,315000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
70,19,0,249 N 7TH ST,0,0,0,0.11,0,,,0,00/00/0000,0,,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
72,9,0,223 N 9TH ST,0,0,0,0.11,0,,,0,9/23/2005,1,Z,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
72,9.01,0,229 N 9TH ST,0,0,0,0.11,0,,,0,9/23/2005,1,Z,350000,0,350000,1,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
