OID_,Id,SPOT,FLOORS,FLR_RAN,VIEW_2010,OFFSETA,GRIDCODE,SUM_LENGTH
,2355,5,2,1,0,10,0,0
,2356,4.5,2,1,0,10,0,0
,2357,6.5,2,1,0,10,0,0
,2358,7.5,2,1,0,10,0,0
,2359,14.66666667,2,1,17.9621466,10,1,0.313339668
,2360,8.5,1,1,0,10,0,0
,2361,6.5,1,1,0,10,0,0
,2362,6.5,2,1,0,10,0,0
,2363,5.5,1,1,0,10,0,0
,2364,5,2,1,0,10,0,0
,2365,3.5,1,1,0,10,0,0
,2366,3.5,2,1,0,10,0,0
,2367,3.5,2,1,0,10,0,0
,2368,4,2,1,0,10,0,0
,2369,5,1.5,1,0,10,0,0
,2370,3.5,2,1,0,10,0,0
,2371,4.5,1.5,1,0,10,0,0
,2372,5,1,1,0,10,0,0
,2373,5.5,2,1,0,10,0,0
,2374,5.5,1,1,0,10,0,0
,2375,4.5,1.5,1,0,10,0,0
,2376,6,1.5,1,0,10,0,0
,2377,4.5,1.5,1,0,10,0,0
,2378,5.5,1.5,1,0,10,0,0
,2379,6,2,1,0,10,0,0
,2380,0,2,1,0,10,0,0
,2381,0,2,1,0,10,0,0
,2382,5.333333333,1.5,1,0,10,0,0
,2383,4.5,2,1,0,10,0,0
,2384,5,1,1,0,10,0,0
,2385,5,1,1,0,10,0,0
,2386,5.5,1.5,1,0,10,0,0
,2387,5,2,1,0,10,0,0
,2388,5,1,1,0,10,0,0
,2389,4.5,1.5,1,0,10,0,0
,2390,4.5,2,1,0,10,0,0
,2391,4.5,2,1,0,10,0,0
,2392,4,2,1,0,10,0,0
,2393,3.5,1,1,0,10,0,0
,2394,4.5,1,1,0,10,0,0
,2395,6,2,1,0,10,0,0
,2396,14.5,2,1,20.03805424,10,1,0.349552724
,2397,12.42857143,2,1,14.80455021,10,1,0.258257154
,2398,8.5,2,1,0,10,0,0
,2399,8,2,1,0,10,0,0
,2400,7,2,1,0,10,0,0
,2401,7.5,1.5,1,0,10,0,0
,2402,5,2,1,0,10,0,0
,2403,4,1,1,0,10,0,0
,2404,5,1,1,0,10,0,0
,2405,5,1.5,1,0,10,0,0
,2406,6,1.5,1,0,10,0,0
,2407,5.5,1,1,0,10,0,0
,2408,5,1,1,0,10,0,0
,2409,4.5,2,1,0,10,0,0
,2410,5,1.5,1,0,10,0,0
,2411,0,2,1,0,10,0,0
,2412,0,2,1,0,10,0,0
,2413,0,1,1,0,10,0,0
,2414,0,1.5,1,0,10,0,0
,2415,3.5,1.5,1,0,10,0,0
,2416,5,2,1,0,10,0,0
,2417,5,1,1,0,10,0,0
,2418,5.5,1,1,0,10,0,0
,2419,6.5,2,1,0,10,0,0
,2420,5.5,2,1,0,10,0,0
,2421,6,1.5,1,0,10,0,0
,2422,4.5,2,1,0,10,0,0
,2423,5.5,1,1,0,10,0,0
,2424,5,2,1,0,10,0,0
